,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2021e,MI,FT,DevOps Engineer,55000,EUR,65013,FR,100,FR,S
1,2021e,SE,FT,DevOps Architect,165000,USD,165000,US,100,US,L
2,2021e,EN,FT,DevOps Engineer,100000,USD,100000,US,100,US,L
3,2021e,SE,FT,Staff Site Reliability Engineer,225000,USD,225000,US,50,US,L
4,2021e,SE,FT,DevOps Engineer,142000,CAD,113262,CA,100,CA,M
5,2021e,EX,FT,DevOps Manager,330000,USD,330000,US,100,US,M
6,2021e,SE,FT,DevOps Engineer,135000,CAD,107679,CA,100,CA,M
7,2021e,SE,FT,Cloud Architect,4500000,INR,60856,IN,50,IN,L
8,2021e,MI,FT,Cloud Infrastructure Engineer,110000,USD,110000,US,50,US,S
9,2021e,SE,FT,Infrastructure Engineer,190000,USD,190000,US,100,US,L
10,2021e,SE,FT,Lead DevOps Engineer,1512000,PHP,30661,PH,100,PH,L
11,2021e,MI,FT,Cloud Engineer,1100000,INR,14875,IN,100,IN,M
12,2021e,MI,CT,Cloud Infrastructure Engineer,62000,USD,62000,US,100,US,L
13,2021e,MI,FT,Site Reliability Engineer,100000,EUR,118205,FR,100,FR,S
14,2021e,SE,FT,Site Reliability Engineer,85000,EUR,100474,NL,100,NL,L
15,2021e,EN,FT,Cloud Engineer,101000,USD,101000,US,50,US,L
16,2021e,SE,FT,Infrastructure Engineer,150000,USD,150000,US,100,US,M
17,2021e,SE,FT,Principal Site Reliability Engineer,250000,USD,250000,US,100,US,M
18,2021e,EX,FT,Principal Cloud Architect,200000,USD,200000,US,100,US,S
19,2021e,SE,FT,DevOps Engineer,1800000,INR,24342,IN,50,IN,L
20,2021e,MI,FT,DevOps Engineer,4800,USD,4800,EC,100,US,L
21,2021e,SE,FT,Lead Site Reliability Engineer,3200000,INR,43275,IN,100,IN,M
22,2021e,EX,FT,DevSecOps Engineer,160000,USD,160000,US,100,US,S
23,2021e,SE,FT,Infrastructure Engineer,160000,CAD,127620,CA,100,US,M
24,2021e,SE,FT,DevOps Architect,32000,EUR,37825,ES,100,ES,L
25,2021e,MI,FT,DevOps Architect,25000,EUR,29551,PT,50,PT,M
26,2021e,MI,FT,Site Reliability Engineer,133830,USD,133830,US,100,US,L
27,2021e,MI,FT,Site Reliability Engineer,146000,USD,146000,US,100,US,L
28,2021e,SE,FT,DevOps Automation Engineer,700000,DKK,111259,DK,50,DK,L
29,2021e,SE,FT,Cloud Architect,85000,GBP,116914,GB,100,GB,M
30,2021e,MI,FT,Cloud DevOps Engineer,35000,EUR,41372,PT,50,PT,L
31,2021e,SE,FT,DevOps Infrastructure Engineer,145000,CAD,115655,CA,100,CA,L
32,2021e,EN,FT,DevOps Consultant,450000,INR,6085,IN,50,IN,L
33,2021e,MI,FT,Lead DevOps Engineer,3300000,INR,44627,IN,50,IN,L
34,2021e,SE,FT,DevOps Engineer,133000,NZD,94022,NZ,100,NZ,M
35,2021e,SE,FT,Lead Site Reliability Engineer,130000,USD,130000,US,100,US,M
36,2021e,MI,FT,DevOps Engineer,26556,EUR,31390,BG,100,BG,S
37,2021e,SE,FT,DevOps Architect,38000,EUR,44918,ES,50,ES,L
38,2021e,SE,FT,DevOps Engineer,75000,GBP,103160,GB,100,GB,L
39,2021e,MI,FT,DevOps Developer,57000,EUR,67377,DE,50,DE,L
40,2021e,MI,FT,Cloud Architect,40000,EUR,47282,PT,50,PT,L
41,2021e,SE,CT,DevSecOps Engineer,335000,USD,335000,US,100,US,S
42,2021e,SE,FT,DevOps Engineer,95000,EUR,112295,NL,50,NL,L
43,2021e,SE,FT,Automation Engineer,67000,EUR,79197,PT,100,PT,S
44,2021e,SE,FT,DevOps Engineer,71000,EUR,83926,PT,100,ES,L
45,2021e,EN,FT,DevOps Engineer,192000,INR,2596,IN,100,IN,S
46,2021e,MI,FT,Site Reliability Engineer,85000,USD,85000,US,100,US,L
47,2021e,SE,FT,DevOps Engineer,161500,USD,161500,US,100,US,L
48,2021e,SE,FT,DevOps Engineer,105000,CAD,83750,CA,50,CA,M
49,2021e,SE,FT,Platform Engineer,160000,USD,160000,US,100,US,M
50,2021e,EN,FT,DevOps Engineer,90000,USD,90000,US,100,US,M
51,2021e,EN,FT,DevOps Engineer,110000,USD,110000,US,50,US,M
52,2021e,MI,FT,Cloud DevOps Engineer,40000,GBP,55018,GB,50,GB,M
53,2021e,MI,FT,DevOps Infrastructure Engineer,40000,EUR,47282,ES,100,ES,L
54,2021e,MI,CT,DevOps Engineer,140000,EUR,165488,ES,100,US,M
55,2021e,EN,FT,DevOps Engineer,54000,EUR,63831,DE,100,DE,L
56,2021e,EN,FT,DevOps Engineer,52000,EUR,61467,DE,50,DE,S
57,2021e,SE,CT,DevOps Engineer,250000,PLN,64718,PL,100,PL,L
58,2021e,MI,FT,Lead Platform Engineer,80000,NZD,56554,NZ,50,NZ,L
59,2021e,SE,FT,Site Reliability Engineer,115000,GBP,158179,GB,50,GB,L
60,2021e,EX,FT,Manager of DevOps & Engineering Infrastructure,157000,AUD,117828,AU,50,AU,M
61,2021e,MI,FT,DevOps Engineer,42000,GBP,57769,GB,100,GB,M
62,2021e,MI,FT,Infrastructure Engineer,38016,GBP,52289,GB,100,GB,L
63,2021e,MI,FT,Lead DevOps Engineer,42600,EUR,50355,NL,50,NL,M
64,2021e,SE,FT,DevOps Engineer,125000,EUR,147757,IE,100,IE,L
65,2021e,EN,FT,DevOps Engineer,22800,EUR,26950,RO,100,RO,L
66,2021e,SE,FT,Cloud Architect,140000,USD,140000,US,100,US,L
67,2021e,EX,FT,DevOps Manager,82000,GBP,112788,GB,50,GB,L
68,2021e,SE,FT,Site Reliability Engineer,51000,USD,51000,PL,100,PL,S
69,2021e,MI,FT,DevOps Engineer,1300000,INR,17580,IN,100,IN,L
70,2021e,SE,FT,Cloud DevOps Systems Engineer,70000,EUR,82744,DE,50,DE,L
71,2021e,SE,CT,DevOps Consultant,260000,PLN,67307,PL,50,PL,L
72,2021e,MI,FT,DevOps Engineer,55680,EUR,65817,BE,50,BE,L
73,2021e,SE,FT,Cloud DevOps Engineer,40000,USD,40000,SK,100,SK,L
74,2021e,SE,FT,DevOps Engineer,189750,USD,189750,US,100,US,L
75,2021e,MI,FT,DevOps Engineer,49896,EUR,58979,NL,100,NL,S
76,2021e,MI,FT,Cloud DevOps Engineer,17501,EUR,20687,BA,50,BA,M
77,2021e,MI,FT,DevOps Engineer,135000,USD,135000,US,100,US,L
78,2021e,MI,FT,Cloud Operations Engineer,66000,EUR,78015,NL,100,NL,L
79,2021e,SE,FT,Automation Engineer,750000,NOK,87241,NO,50,NO,L
80,2021e,SE,FT,DevSecOps Engineer,14400000,HUF,47467,HU,100,HU,L
81,2021e,MI,FT,Infrastructure Engineer,55000,GBP,75650,GB,50,GB,S
82,2021e,MI,FT,Infrastructure Engineer,72000,USD,72000,US,100,US,L
83,2021e,EN,FT,DevOps Engineer,500000,INR,6761,IN,100,SG,L
84,2021e,MI,CT,Data Infrastructure Engineer,214000,USD,214000,US,100,US,L
85,2021e,SE,FT,Cloud Platform Engineer,135000,USD,135000,US,100,US,L
86,2021e,EN,FT,Site Reliability Engineer,115000,USD,115000,US,100,US,M
