,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2022,SE,FT,Research Scientist,144000,USD,144000,US,50,US,L
1,2022,SE,FT,Principal Data Scientist,148000,EUR,167981,DE,100,DE,M
2,2021,SE,FT,Computer Vision Engineer,24000,USD,24000,BR,100,BR,M
3,2021,MI,FT,Applied Machine Learning Scientist,38400,USD,38400,VN,100,US,M
4,2022,EN,FT,Financial Data Analyst,100000,USD,100000,US,50,US,L
5,2021,MI,FT,Data Scientist,82500,USD,82500,US,100,US,S
6,2021,EN,FT,Data Scientist,42000,EUR,49646,FR,50,FR,M
7,2021,SE,FT,Lead Data Scientist,3000000,INR,40570,IN,50,IN,L
8,2022,EN,FT,Data Engineer,120000,USD,120000,US,100,US,M
9,2022,SE,FT,Lead Machine Learning Engineer,80000,EUR,90800,DE,0,DE,M
10,2021,EN,FT,Machine Learning Engineer,20000,USD,20000,IN,100,IN,S
11,2022,EN,FT,Computer Vision Engineer,125000,USD,125000,US,0,US,M
12,2021,MI,FT,Data Scientist,700000,INR,9466,IN,0,IN,S
13,2021,SE,FT,Machine Learning Scientist,120000,USD,120000,US,50,US,S
14,2021,EN,PT,Data Analyst,8760,EUR,10354,ES,50,ES,M
15,2021,EN,FT,Applied Data Scientist,80000,GBP,110037,GB,0,GB,L
16,2022,EN,FT,ML Engineer,20000,EUR,22700,PT,100,PT,L
17,2021,EN,FT,Data Analyst,50000,USD,50000,US,100,US,M
18,2021,SE,FT,Principal Data Engineer,200000,USD,200000,US,100,US,M
19,2021,MI,FT,Big Data Engineer,60000,USD,60000,ES,50,RO,M
20,2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L
21,2021,EN,FT,Machine Learning Developer,100000,USD,100000,IQ,50,IQ,S
22,2021,MI,FT,Data Engineer,100000,USD,100000,US,100,US,L
23,2021,SE,FT,Machine Learning Engineer,70000,EUR,82744,BE,50,BE,M
24,2020,MI,FT,Data Engineering Manager,51999,EUR,59303,DE,100,DE,S
25,2021,MI,FT,Research Scientist,53000,EUR,62649,FR,50,FR,M
26,2021,MI,FT,Data Engineer,60000,GBP,82528,GB,100,GB,L
27,2021,MI,FT,Data Architect,170000,USD,170000,US,100,US,L
28,2021,MI,FT,Data Architect,150000,USD,150000,US,100,US,L
29,2021,EN,FT,BI Data Analyst,55000,USD,55000,US,50,US,S
30,2021,EX,FT,Director of Data Science,250000,USD,250000,US,0,US,L
31,2021,EN,FT,Data Engineer,80000,USD,80000,US,100,US,L
32,2020,EN,FT,Big Data Engineer,70000,USD,70000,US,100,US,L
33,2021,EX,FT,Director of Data Science,110000,EUR,130026,DE,50,DE,M
34,2021,EN,FT,Data Science Consultant,54000,EUR,63831,DE,50,DE,L
35,2020,SE,FT,Data Scientist,60000,EUR,68428,GR,100,US,L
36,2021,EX,FT,Head of Data Science,85000,USD,85000,RU,0,RU,M
37,2021,EX,FT,Head of Data,230000,USD,230000,RU,50,RU,L
38,2021,EN,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S
39,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,100,US,M
40,2020,MI,FT,Research Scientist,450000,USD,450000,US,0,US,M
41,2020,MI,FT,Data Analyst,41000,EUR,46759,FR,50,FR,L
42,2020,MI,FT,Data Engineer,65000,EUR,74130,AT,50,AT,L
43,2021,SE,FT,Data Science Engineer,159500,CAD,127221,CA,50,CA,L
44,2021,SE,FT,Manager Data Science,144000,USD,144000,US,100,US,L
45,2021,EN,FT,Data Scientist,13400,USD,13400,UA,100,UA,L
46,2021,MI,FT,Data Scientist,95000,CAD,75774,CA,100,CA,L
47,2021,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M
48,2020,MI,FT,Data Science Consultant,103000,USD,103000,US,100,US,L
49,2021,SE,FT,Data Engineering Manager,153000,USD,153000,US,100,US,L
50,2021,MI,FT,Data Engineer,90000,USD,90000,US,100,US,L
51,2021,EN,FT,Data Analyst,90000,USD,90000,US,100,US,S
52,2021,EN,FT,Data Analyst,60000,USD,60000,US,100,US,S
53,2021,MI,FT,Data Scientist,50000,USD,50000,NG,100,NG,L
54,2021,EN,PT,AI Scientist,12000,USD,12000,PK,100,US,M
55,2021,MI,PT,3D Computer Vision Researcher,400000,INR,5409,IN,50,IN,M
56,2021,MI,CT,ML Engineer,270000,USD,270000,US,100,US,L
57,2021,MI,FT,Applied Data Scientist,68000,CAD,54238,GB,50,CA,L
58,2021,MI,FT,Machine Learning Engineer,40000,EUR,47282,ES,100,ES,S
59,2021,EX,FT,Director of Data Science,130000,EUR,153667,IT,100,PL,L
60,2021,MI,FT,Data Engineer,110000,PLN,28476,PL,100,PL,L
61,2021,MI,FT,Data Analytics Engineer,110000,USD,110000,US,100,US,L
62,2021,EN,FT,Research Scientist,60000,GBP,82528,GB,50,GB,L
63,2020,EN,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L
64,2021,EN,FT,Data Analyst,50000,EUR,59102,FR,50,FR,M
65,2021,SE,FT,Data Analyst,80000,USD,80000,BG,100,US,S
66,2020,EN,FT,Data Analyst,10000,USD,10000,NG,100,NG,S
67,2020,EN,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S
68,2021,MI,FT,Data Engineer,140000,USD,140000,US,100,US,L
69,2021,SE,FT,Data Analytics Engineer,67000,EUR,79197,DE,100,DE,L
70,2021,SE,FT,Lead Data Analyst,170000,USD,170000,US,100,US,L
71,2021,EN,FT,Data Analyst,80000,USD,80000,US,100,US,M
72,2020,MI,FT,Data Scientist,45760,USD,45760,PH,100,US,S
73,2021,MI,FT,BI Data Analyst,100000,USD,100000,US,100,US,M
74,2021,SE,FT,Data Scientist,45000,EUR,53192,FR,50,FR,L
75,2021,EX,FT,Head of Data,235000,USD,235000,US,100,US,L
76,2021,EX,FT,BI Data Analyst,150000,USD,150000,IN,100,US,L
77,2020,EX,FT,Data Engineering Manager,70000,EUR,79833,ES,50,ES,L
78,2021,EN,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L
79,2021,EN,FT,Data Science Consultant,65000,EUR,76833,DE,100,DE,S
80,2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PT,M
81,2021,SE,FT,Marketing Data Analyst,75000,EUR,88654,GR,100,DK,L
82,2021,SE,FT,Lead Data Engineer,75000,GBP,103160,GB,100,GB,S
83,2021,SE,FT,Director of Data Engineering,82500,GBP,113476,GB,100,GB,M
84,2021,SE,FT,Machine Learning Engineer,80000,EUR,94564,DE,50,DE,L
