,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2022,SE,FT,Cloud Engineer,70850,EUR,80415,LV,100,LV,M
1,2022,MI,FT,Cloud DevOps Engineer,25000,USD,25000,TN,50,TN,L
2,2022,SE,FT,Principal DevOps Engineer,78000,GBP,105969,GB,100,GB,M
3,2021,EN,FT,Cloud DevOps Engineer,90000,USD,90000,US,100,US,M
4,2022,SE,FT,DevOps Engineer,144000,CAD,114256,CA,100,CA,L
5,2022,EN,FT,IT DevOps Engineer,30000,USD,30000,NG,100,US,M
6,2021,SE,FT,DevOps Engineer,120000,CHF,131245,CH,100,CH,S
7,2020,SE,FT,DevOps Engineer,140000,USD,140000,US,100,US,L
8,2021,SE,FT,Site Reliability Engineer,245000,USD,245000,US,100,US,L
9,2021,MI,FT,Cloud Engineer,71001,USD,71001,AU,50,AU,M
10,2020,MI,FT,Infrastructure Engineer,2800000,INR,37782,IN,0,IN,L
11,2021,SE,FT,DevOps Architect,110000,EUR,130026,IE,100,US,S
12,2020,MI,FT,DevOps Developer,100000,USD,100000,US,0,US,L
13,2021,EN,FT,Cloud Engineer,100000,USD,100000,US,100,US,L
14,2020,EN,FT,Automation Engineer,70000,USD,70000,US,100,US,L
15,2020,SE,FT,DevOps Engineer,128000,USD,128000,US,100,US,L
16,2021,MI,FT,Cloud Operations Engineer,61000,EUR,72105,IE,100,IE,M
17,2021,MI,FT,DevOps Team Lead,37000,EUR,43736,HR,100,HR,L
18,2021,EX,FT,DevOps Manager,160000,CAD,127620,CA,100,CA,M
19,2021,EN,FT,Cloud Security Engineer,47000,EUR,55556,IE,100,IE,M
20,2020,MI,FT,Azure Cloud Engineer,125000,USD,125000,US,100,US,L
21,2021,SE,FT,DevOps Engineer,145000,USD,145000,US,100,US,L
22,2021,SE,FT,Principal Site Reliability Engineer,144658,USD,144658,US,100,US,M
23,2021,MI,FT,Cloud Platform Engineer,50000,GBP,68773,GB,100,GB,L
24,2021,SE,FT,Ansible Automation Engineer,260000,CAD,207382,CA,100,CA,L
25,2021,SE,FT,Manager of DevOps & Engineering Infrastructure,75000,USD,75000,IN,50,IN,L
26,2021,EN,FT,DevOps Automation Engineer,480000,SEK,55916,SE,0,SE,M
27,2021,EN,FT,DevOps Engineer,5000,USD,5000,IN,100,IN,L
28,2021,SE,FT,DevSecOps Engineer,480000,ILS,148629,IL,50,IL,M
29,2020,SE,FT,DevOps Engineer,49998,EUR,57021,SI,100,SI,M
30,2021,MI,FT,Cloud Platform Engineer,135000,USD,135000,US,100,US,L
31,2020,SE,FT,DevOps Consultant,191000,USD,191000,US,100,US,L
32,2021,MI,FT,DevOps Engineer,141500,USD,141500,US,50,US,L
33,2021,MI,FT,DevOps Engineer,624000,HKD,80276,HK,0,HK,S
34,2021,SE,FT,Site Reliability Engineer,140000,USD,140000,US,100,US,L
35,2021,SE,FT,Lead DevOps Engineer,185000,USD,185000,US,100,US,M
36,2021,MI,FT,Client Platform Engineer,165000,USD,165000,US,100,US,L
37,2021,MI,FT,Cloud DevOps Engineer,127000,USD,127000,US,100,US,M
38,2021,MI,FT,Cloud Engineer,36000,USD,36000,AM,50,AM,M
39,2021,EN,FT,Cloud DevOps Engineer,3000,EUR,3546,FR,100,CH,L
40,2021,SE,FT,DevOps Engineer,160000,USD,160000,US,50,US,S
41,2021,SE,FT,Cloud DevOps Systems Engineer,150000,USD,150000,US,50,US,M
42,2021,MI,FT,QA Automation Engineer,42000,EUR,49646,FR,50,FR,M
43,2021,SE,FT,Site Reliability Engineer,105000,CAD,83750,CA,100,CA,L
44,2020,SE,FT,Platform Engineer,168000,USD,168000,US,100,US,L
45,2020,MI,FT,Platform Engineering Manager,48500,EUR,55313,BE,50,BE,M
46,2021,MI,FT,Cloud Engineer,115000,USD,115000,US,100,US,M
47,2021,SE,FT,Manager of DevOps & Engineering Infrastructure,25000,USD,25000,BR,0,BR,S
48,2020,EN,FT,DevOps Engineer,20000,USD,20000,HR,50,HR,L
49,2020,EN,FT,Site Reliability Engineer,95000,USD,95000,US,100,US,L
50,2021,EN,FT,DevOps Engineer,83005,CHF,90783,CH,50,CH,L
51,2021,EN,FT,DevOps Engineer,102000,USD,102000,US,100,US,L
52,2021,SE,FT,DevSecOps Engineer,130000,CAD,103691,CA,100,CA,L
53,2020,MI,FT,Cloud Engineer,100000,USD,100000,US,100,US,L
54,2020,SE,FT,DevOps Engineer,160000,USD,160000,US,0,US,M
55,2021,MI,FT,DevOps Engineer,55000,GBP,75650,GB,100,GB,M
56,2021,SE,FT,DevOps Developer,61000,EUR,72105,NL,0,FR,L
57,2021,EN,FT,DevOps Engineer,37000,GBP,50892,GB,100,GB,L
58,2021,SE,FT,DevOps Engineer,92867,USD,92867,US,50,US,L
59,2021,SE,FT,DevOps Engineer,3000000,RUB,40716,RU,100,RU,M
60,2021,EN,FT,DevSecOps Engineer,77750,USD,77750,US,100,US,L
61,2021,EN,FT,DevOps Engineer,35000,EUR,41372,FR,100,FR,S
62,2021,EN,FT,Cloud Engineer,55000,GBP,75650,GB,100,GB,L
63,2021,EN,FT,Platform Engineer,27000,GBP,37137,GB,100,GB,M
64,2021,SE,FT,Site Reliability Engineer,150000,USD,150000,ES,100,US,M
65,2021,EN,FT,DevOps Engineer,350000,INR,4733,IN,100,IN,L
66,2021,MI,FT,Site Reliability Engineer,210000,USD,210000,US,50,US,L
67,2021,EN,FT,DevOps Engineer,80000,AUD,60040,AU,50,AU,S
68,2021,SE,FL,Cloud DevOps Engineer,100000,EUR,118205,IT,100,IT,M
69,2020,SE,FL,Site Reliability Engineer,55000,EUR,62726,FR,50,FR,L
70,2021,SE,FT,DevOps Manager,165000,USD,165000,US,100,US,L
71,2021,SE,FT,Site Reliability Engineer,115000,USD,115000,US,50,US,L
72,2021,MI,FT,DevOps Engineer,100000,USD,100000,US,100,US,S
73,2021,SE,FT,Site Reliability Engineer,97000,EUR,114659,IE,100,IE,L
74,2021,SE,FT,DevOps Engineer,150000,USD,150000,US,100,US,M
75,2021,SE,FT,Principal DevOps Engineer,151500,USD,151500,US,100,GB,L
76,2021,MI,FT,Site Reliability Engineer,125000,USD,125000,US,100,US,L
77,2020,MI,FT,DevOps Engineer,100000,USD,100000,US,100,US,L
78,2021,MI,FT,DevOps Engineer,140000,USD,140000,US,0,US,S
79,2020,MI,FT,DevOps Engineer,174000,SGD,126160,SG,0,SG,L
80,2021,EN,FT,DevOps Engineer,6300,USD,6300,PK,0,PK,S
81,2021,SE,FT,Cloud Architect,200000,USD,200000,US,50,US,M
82,2021,MI,FT,DevOps Engineer,22800,USD,22800,MY,100,MY,S
83,2021,EN,FT,Cloud DevOps Engineer,85000,USD,85000,US,50,US,L
84,2021,MI,FT,Cloud Security Engineer,110000,USD,110000,US,50,DE,L
85,2021,EN,FT,DevOps Engineer,480000,SEK,55916,SE,50,SE,S
86,2020,SE,FT,Staff DevOps Engineer,210000,USD,210000,US,0,US,L
87,2021,EN,FT,DevOps Engineer,288000,ZAR,19477,ZA,100,ZA,M
88,2021,MI,FT,Principal DevOps Engineer,145000,USD,145000,US,100,US,L
89,2021,MI,FT,Cloud Engineer,115000,USD,115000,US,100,US,L
90,2021,SE,FT,DevOps Architect,90000,GBP,123792,AU,100,GB,M
91,2020,SE,FT,Principal DevOps Engineer,130000,USD,130000,US,100,US,S
92,2020,MI,FT,Ansible Automation Engineer,95000,USD,95000,US,50,US,S
93,2021,MI,FT,Infrastructure Engineer,132000,USD,132000,US,100,US,L
94,2021,MI,FT,DevOps Engineer,165000,USD,165000,US,100,US,S
95,2021,EX,FT,Director of Infrastructure,300000,USD,300000,US,50,US,L
96,2021,MI,FT,Site Reliability Engineer,126500,USD,126500,US,100,US,L
97,2021,EX,FT,Manager of DevOps & Engineering Infrastructure,308781,USD,308781,US,100,US,L
98,2021,SE,FT,Cloud Architect,73000,EUR,86290,AT,50,AT,L
99,2021,EN,FT,Cloud DevOps Engineer,78000,USD,78000,US,100,US,M
100,2021,MI,FT,Cloud DevOps Engineer,135000,USD,135000,US,50,US,S
101,2021,EN,FT,DevOps Engineer,40000,EUR,47282,NL,100,NL,L
102,2020,EN,FT,DevOps Engineer,55000,EUR,62726,DE,50,DE,S
103,2020,MI,FT,Cloud DevOps Engineer,85000,GBP,109024,MX,100,GB,S
104,2021,EN,FT,Azure Cloud Engineer,4800,USD,4800,ZW,0,ZW,S
105,2021,MI,FT,DevOps Engineer,65000,GBP,89405,GB,50,GB,L
106,2021,SE,FT,DevOps Architect,150000,USD,150000,US,50,US,L
107,2020,SE,FT,Platform Engineer,135000,USD,135000,US,100,US,L
108,2021,EN,FT,DevOps Engineer,70000,CAD,55833,CA,100,CA,L
109,2021,EN,FT,DevOps Engineer,55000,GBP,75650,GB,100,GB,S
110,2020,MI,FT,Infrastructure Engineer,82000,GBP,105176,GB,100,GB,M
111,2020,MI,FT,Cloud Engineer,680000,NOK,72308,NO,100,NO,L
112,2021,SE,FT,Cloud Engineer,110000,USD,110000,US,50,US,M
113,2021,MI,FT,Cloud Architect,50000,EUR,59102,FR,50,FR,M
114,2021,MI,FT,DevOps Engineer,71500,SGD,53204,SG,50,SG,M
115,2021,EN,FT,IT Infrastructure Engineer,44000,EUR,52010,DE,50,DE,S
116,2021,SE,FT,Principal DevOps Engineer,83000,GBP,114164,GB,50,GB,M
117,2020,MI,FT,Infrastructure Engineer,50000,USD,50000,CA,0,CA,L
118,2021,SE,FT,Principal DevOps Engineer,200000,USD,200000,US,100,DE,L
119,2021,EN,FT,DevOps Engineer,65000,CAD,51845,CA,100,CA,M
120,2020,MI,FT,DevOps Engineer,135000,USD,135000,US,100,US,M
121,2021,EN,FT,Platform Engineer,135000,USD,135000,US,100,US,L
122,2021,MI,FT,Site Reliability Engineer,141800,USD,141800,US,50,US,L
123,2021,MI,FT,Platform Engineer,100000,USD,100000,US,100,US,L
124,2020,MI,FT,DevOps Engineer,110000,USD,110000,US,100,US,L
125,2021,SE,FT,DevOps Engineer,58000,EUR,68559,BE,100,BE,M
126,2020,MI,FT,Client Platform Engineer,2400000,INR,32385,IN,100,US,S
127,2021,MI,FT,Site Reliability Engineer,100000,CAD,79762,CA,100,CA,L
128,2020,MI,FT,DevOps Engineer,92000,USD,92000,US,50,US,M
129,2020,MI,FT,DevOps Engineer,160000,USD,160000,US,100,US,M
130,2021,SE,FT,Azure Cloud Engineer,100000,CAD,79762,CA,100,US,L
131,2021,MI,FT,DevOps Automation Engineer,120000,USD,120000,US,100,US,L
132,2020,SE,FT,Site Reliability Engineer,78000,CAD,58179,CA,100,CA,L
133,2021,SE,FT,Cloud Infrastructure Engineer,550000,USD,550000,US,0,US,L
