,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2022,SE,FT,Cloud Security Architect,110000,USD,110000,US,100,US,L
1,2022,MI,FT,Cyber Threat Intelligence Analyst,200000,USD,200000,US,100,US,L
2,2021,MI,FT,Product Security Engineer,170000,USD,170000,US,100,US,L
3,2021,SE,FT,Information Security Manager,135000,USD,135000,US,100,US,L
4,2022,EX,FT,Threat Intelligence Analyst,189000,USD,189000,US,100,US,L
5,2021,EX,FT,Head of Security,173000,USD,173000,US,100,US,M
6,2022,SE,FT,Incident Response Lead,249000,USD,249000,US,100,US,L
7,2022,SE,FT,IT Security Manager,140000,USD,140000,US,100,US,L
8,2022,SE,CT,Detection Engineer,135000,USD,135000,US,50,US,L
9,2022,EN,FT,Threat Intelligence Analyst,104000,AUD,74928,AU,100,AU,L
10,2022,SE,FT,Incident Response Manager,600000,USD,600000,US,100,US,L
11,2021,MI,FT,Information Security Specialist,100000,USD,100000,US,50,US,L
12,2021,SE,FT,Network Security Engineer,102000,USD,102000,US,50,US,L
13,2022,MI,FT,Information Security Analyst,60000,USD,60000,US,100,US,M
14,2022,SE,FT,Security Engineering Manager,183000,USD,183000,US,100,US,L
15,2022,SE,FT,Cloud Security Architect,190000,USD,190000,US,100,US,L
16,2022,MI,FT,Information Security Engineer,130000,USD,130000,US,100,US,L
17,2021,SE,FT,Cyber Security Architect,110000,EUR,130026,NL,100,NL,L
18,2021,EN,FT,Application Security Engineer,175000,USD,175000,US,100,US,L
19,2021,EN,FT,Application Security Engineer,1200000,INR,16228,IN,0,IN,L
20,2022,MI,FT,Privacy Manager,150000,USD,150000,US,100,US,M
21,2021,MI,FT,Cloud Security Engineer,155000,USD,155000,US,100,GB,L
22,2021,EX,FT,Chief Information Security Officer,120000,EUR,141846,FR,50,FR,L
23,2021,EN,FT,Cybersecurity Engineer,74000,USD,74000,US,50,US,S
24,2021,SE,FT,Cyber Security Specialist,39000,EUR,46100,FR,0,FR,L
25,2022,SE,FT,Lead Security Engineer,112000,USD,112000,US,100,US,L
26,2022,SE,FT,Security Engineer,255000,USD,255000,US,100,US,L
27,2022,SE,FT,Security Engineer,170000,USD,170000,US,100,US,L
28,2022,SE,FT,Penetration Testing Engineer,173000,USD,173000,US,0,US,L
29,2021,MI,FT,Security Engineer,130000,USD,130000,US,100,US,L
30,2022,SE,FT,IT Security Engineer,150000,USD,150000,US,100,US,L
31,2022,EX,FT,Head of Security,200000,USD,200000,US,100,US,L
32,2022,MI,FT,Cyber Security Engineer,130000,CAD,103148,CA,100,US,L
33,2021,MI,FT,IT Security Analyst,76000,USD,76000,US,100,US,L
34,2022,MI,FT,Cyber Threat Analyst,88000,USD,88000,US,100,US,L
35,2021,EN,FT,Security Analyst,50000,USD,50000,US,100,US,S
36,2021,SE,FT,Security Analyst,80000,USD,80000,US,100,US,S
37,2022,MI,FT,Cyber Security Analyst,131800,USD,131800,US,0,US,L
38,2022,MI,FT,Cyber Security Analyst,99900,USD,99900,US,0,US,L
39,2021,MI,FT,Cyber Security Engineer,110000,USD,110000,US,100,US,M
40,2022,MI,FT,Information Security Manager,160000,USD,160000,US,50,US,L
41,2021,MI,FT,Information Security Manager,128000,USD,128000,US,100,US,L
42,2022,MI,FT,Information Security Manager,130000,USD,130000,US,0,US,L
43,2021,MI,FT,Threat Intelligence Analyst,125000,USD,125000,US,100,US,L
44,2022,SE,FT,Information Security Manager,310000,USD,310000,US,100,US,L
45,2022,EN,FT,Cyber Security Analyst,55000,USD,55000,US,0,US,L
46,2021,SE,FT,IT Security Manager,138000,USD,138000,US,100,US,L
47,2022,SE,FT,IT Security Manager,182000,CAD,144407,CA,0,CA,L
48,2022,SE,FT,IT Security Manager,130000,CAD,103148,CA,0,CA,L
49,2021,MI,FT,Cyber Security Specialist,54000,EUR,63831,EE,50,EE,M
50,2020,MI,CT,Chief Information Security Officer,150000,AUD,103310,AU,0,AU,M
51,2021,EN,FT,Cyber Security Analyst,60000,USD,60000,US,50,US,L
52,2021,SE,FT,Network and Security Engineer,99960,USD,99960,US,0,US,L
53,2020,EN,FT,Cyber Security Analyst,425000,INR,5734,IN,100,IN,L
54,2021,EN,PT,Information Security Analyst,30000,USD,30000,US,100,US,L
55,2022,MI,FT,Security Engineer,110000,USD,110000,US,50,US,L
56,2021,MI,FT,Information Security Specialist,68900,USD,68900,US,100,US,L
57,2021,MI,FT,IT Security Manager,116000,USD,116000,US,0,US,S
58,2022,EN,FT,Cyber Threat Analyst,99000,USD,99000,CA,100,CA,L
59,2022,MI,FT,Cybersecurity Analyst,80000,EUR,90800,IE,100,IE,L
60,2021,MI,FT,Cyber Security Analyst,60000,CAD,47857,CA,50,CA,L
61,2022,EN,FT,Information Systems Security Engineer,44000,USD,44000,SG,0,SG,L
62,2022,EN,FT,Cybersecurity Analyst,52000,USD,52000,US,50,US,S
63,2021,MI,FT,IT Security Analyst,115500,USD,115500,US,100,US,L
64,2022,MI,FT,Information Security Specialist,100000,CAD,79344,CA,100,CA,L
65,2022,MI,FT,Information Security Specialist,100000,AUD,72046,CA,100,CA,L
66,2021,SE,FT,Information Security Engineer,104000,USD,104000,US,100,US,L
67,2020,MI,FT,Cyber Security Analyst,65000,EUR,74130,DE,100,DE,L
68,2022,EN,FT,Network and Security Engineer,70000,USD,70000,IN,0,US,L
69,2021,SE,FT,Penetration Tester,264000,PLN,68342,PL,100,PL,L
70,2022,MI,FT,Cyber Security Analyst,131500,USD,131500,US,0,US,L
71,2022,MI,FT,Cyber Security Analyst,99950,USD,99950,US,0,US,L
72,2021,EN,FT,Cyber Security Analyst,76200,USD,76200,US,50,US,L
