,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,remote_ratio,company_size,company_location_iso_a3,employee_residence_iso_a3,gdp_company_location,gdp_employee_residence,same_country,ai_or_ml_job
74,2021,1,FT,Fullstack Engineer,55000,USD,55000,100,0,USA,ROU,56823.436824068805,20483.07830662258,0.0,0.0
75,2021,2,FT,Data Engineer,65000,EUR,76833,50,0,GBR,ROU,43044.983613571414,20483.07830662258,0.0,1.0
76,2021,2,FT,Data Engineer,65000,EUR,76833,50,0,GBR,ROU,43044.983613571414,20483.07830662258,0.0,1.0
77,2021,0,FT,DevOps Engineer,22800,EUR,26950,100,2,ROU,ROU,20483.07830662258,20483.07830662258,1.0,0.0
78,2021,0,FT,Python Developer,12000,EUR,14184,0,1,ROU,ROU,20483.07830662258,20483.07830662258,1.0,0.0
79,2021,0,FT,DevOps Engineer,22800,EUR,26950,100,2,ROU,ROU,20483.07830662258,20483.07830662258,1.0,0.0
80,2021,1,FT,QA Automation Engineer,19200,EUR,22695,100,2,ROU,ROU,20483.07830662258,20483.07830662258,1.0,0.0
81,2020,1,FT,DevOps Infrastructure Engineer,45000,EUR,51321,100,2,ROU,ROU,20483.07830662258,20483.07830662258,1.0,0.0
84,2021,2,FT,DevOps Architect,165000,USD,165000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
85,2021,0,FT,DevOps Engineer,100000,USD,100000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
86,2021,2,FT,Staff Site Reliability Engineer,225000,USD,225000,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
87,2021,1,FT,Cloud Infrastructure Engineer,110000,USD,110000,50,0,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
88,2021,2,FT,Infrastructure Engineer,190000,USD,190000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
89,2021,1,CT,Cloud Infrastructure Engineer,62000,USD,62000,100,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
90,2021,0,FT,Cloud Engineer,101000,USD,101000,50,2,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
91,2021,2,FT,Infrastructure Engineer,150000,USD,150000,100,1,USA,USA,56823.436824068805,56823.436824068805,1.0,0.0
